game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,result,overtime,stadium
2025_14_SEA_ATL,2025,REG,14,2025-12-07,Sunday,13:00,SEA,ATL,,,,,Mercedes-Benz Stadium
2025_14_PIT_BAL,2025,REG,14,2025-12-07,Sunday,13:00,PIT,BAL,,,,,M&T Bank Stadium
2025_14_TEN_CLE,2025,REG,14,2025-12-07,Sunday,13:00,TEN,CLE,,,,,FirstEnergy Stadium
2025_14_CHI_GB,2025,REG,14,2025-12-07,Sunday,13:00,CHI,GB,,,,,Lambeau Field
2025_14_IND_JAX,2025,REG,14,2025-12-07,Sunday,13:00,IND,JAX,,,,,TIAA Bank Stadium
2025_14_WAS_MIN,2025,REG,14,2025-12-07,Sunday,13:00,WAS,MIN,,,,,U.S. Bank Stadium
2025_14_MIA_NYJ,2025,REG,14,2025-12-07,Sunday,13:00,MIA,NYJ,,,,,MetLife Stadium
2025_14_NO_TB,2025,REG,14,2025-12-07,Sunday,13:00,NO,TB,,,,,Raymond James Stadium
2025_14_DEN_LV,2025,REG,14,2025-12-07,Sunday,16:05,DEN,LV,,,,,Allegiant Stadium
2025_14_LA_ARI,2025,REG,14,2025-12-07,Sunday,16:25,LA,ARI,,,,,State Farm Stadium
2025_14_CIN_BUF,2025,REG,14,2025-12-07,Sunday,16:25,CIN,BUF,,,,,New Era Field
2025_14_HOU_KC,2025,REG,14,2025-12-07,Sunday,20:20,HOU,KC,,,,,GEHA Field at Arrowhead Stadium
2025_14_PHI_LAC,2025,REG,14,2025-12-08,Monday,20:15,PHI,LAC,,,,,SoFi Stadium
